"","county_origin","precipitation","Date"
"1","Antártica Chilena",0.000152275258883224,17
"2","Antofagasta",8.35693981095103e-08,17
"3","Arauco",4.01779454940589e-07,17
"4","Arica",2.57828301860522e-06,17
"5","Aysén",0.000286368385700154,17
"6","Bío-Bío",4.84879809300764e-05,17
"7","Cachapoal",4.609591364139e-05,17
"8","Capitán Prat",0.000303304255436215,17
"9","Cardenal Caro",7.94728594044614e-08,17
"10","Cauquenes",5.44389083501073e-07,17
"11","Cautín",1.60800086395814e-05,17
"12","Provincia de Chacabuco",3.79615354783406e-05,17
"13","Chañaral",7.17463308516939e-09,17
"14","Chiloe",0.0002815810357788,17
"15","Choapa",1.40713711118678e-05,17
"16","Colchagua",2.69810362364556e-05,17
"17","Provincia de Concepción",7.09692612872459e-06,17
"18","Copiapó",1.12721708357433e-07,17
"19","Provincia de Cordillera",6.00665804313394e-05,17
"20","Coyhaique",6.4785480935825e-05,17
"21","Curicó",6.08906589834843e-05,17
"22","Diguillín",4.73931423243812e-05,17
"23","El Loa",0,17
"24","Provincia de Elqui",2.61144762891792e-05,17
"25","General Carrera",8.77242163389145e-05,17
"26","Huasco",3.86666027196725e-07,17
"27","Iquique",2.47293048438735e-05,17
"28","Isla de Pascua",NA,17
"29","Itata",8.69234381806194e-07,17
"30","Limarí",1.04517267982785e-05,17
"31","Linares",8.5110464901561e-05,17
"32","Llanquihue",2.87019291031006e-05,17
"33","Los Andes",5.0206979358336e-05,17
"34","Magallanes",0.000212710278334699,17
"35","Provincia de Maipo",6.61611557006836e-06,17
"36","Malleco",2.97859093596186e-05,17
"37","Marga Marga",4.31140279033571e-06,17
"38","Melipilla",1.62521998087565e-05,17
"39","Osorno",1.78528329399796e-05,17
"40","Palena",0.000332548070498608,17
"41","Parinacota",2.72013924338601e-06,17
"42","Petorca",2.45206886499242e-05,17
"43","Punilla",4.62730718634674e-05,17
"44","Quillota",6.67572021484375e-06,17
"45","Ranco",2.31535663682994e-05,17
"46","San Antonio",4.86771256191787e-07,17
"47","San Felipe",2.81184916275379e-05,17
"48","Provincia de Santiago",5.82486391067505e-05,17
"49","Talagante",1.7980733900913e-05,17
"50","Talca",4.85144551702898e-05,17
"51","Tamarugal",1.04308130639881e-06,17
"52","Tierra del Fuego",8.66927966062972e-05,17
"53","Tocopilla",1.9136703583394e-06,17
"54","Ultima Esperanza",0.000772129827479754,17
"55","Valdivia",1.19686126026863e-05,17
"56","Provincia de Valparaíso",4.02000220371216e-06,17
"57","Antártica Chilena",0.00025936376882515,18
"58","Antofagasta",1.69801551202309e-07,18
"59","Arauco",0,18
"60","Arica",1.60733860841315e-05,18
"61","Aysén",7.65813242543074e-05,18
"62","Bío-Bío",1.00135804643742e-07,18
"63","Cachapoal",4.57631226632079e-06,18
"64","Capitán Prat",0.000740967611887534,18
"65","Cardenal Caro",0,18
"66","Cauquenes",0,18
"67","Cautín",5.96046459596285e-09,18
"68","Provincia de Chacabuco",6.49690612893513e-06,18
"69","Chañaral",0,18
"70","Chiloe",4.22944624656196e-06,18
"71","Choapa",1.72502852619265e-06,18
"72","Colchagua",6.32944550358973e-07,18
"73","Provincia de Concepción",0,18
"74","Copiapó",4.37911666475262e-08,18
"75","Provincia de Cordillera",1.59566599577943e-05,18
"76","Coyhaique",1.52317681789782e-05,18
"77","Curicó",1.03856576639704e-06,18
"78","Diguillín",1.72853469848633e-06,18
"79","El Loa",2.25622095951614e-07,18
"80","Provincia de Elqui",8.98654662001136e-07,18
"81","General Carrera",4.9160010942481e-05,18
"82","Huasco",1.06982697572606e-08,18
"83","Iquique",2.27358614210971e-05,18
"84","Isla de Pascua",NA,18
"85","Itata",0,18
"86","Limarí",1.60409693630994e-06,18
"87","Linares",5.45134144935844e-07,18
"88","Llanquihue",2.76626684909003e-07,18
"89","Los Andes",3.49521640600869e-05,18
"90","Magallanes",0.000557642593904508,18
"91","Provincia de Maipo",0,18
"92","Malleco",1.29575317818426e-08,18
"93","Marga Marga",0,18
"94","Melipilla",1.12586554597745e-07,18
"95","Osorno",1.52736904679429e-07,18
"96","Palena",4.30452521162404e-06,18
"97","Parinacota",8.79872947156069e-05,18
"98","Petorca",8.07974060990091e-07,18
"99","Punilla",6.67572023616003e-07,18
"100","Quillota",0,18
"101","Ranco",2.071970957981e-07,18
"102","San Antonio",0,18
"103","San Felipe",6.26345490672975e-06,18
"104","Provincia de Santiago",6.70552248038803e-06,18
"105","Talagante",0,18
"106","Talca",9.72300776780344e-07,18
"107","Tamarugal",3.78967799758496e-06,18
"108","Tierra del Fuego",0.000286437894354331,18
"109","Tocopilla",3.64672053943981e-06,18
"110","Ultima Esperanza",0.00118914743094744,18
"111","Valdivia",2.78155008951823e-08,18
"112","Provincia de Valparaíso",0,18
"113","Antártica Chilena",0.000526054818585501,19
"114","Antofagasta",4.76222674637147e-07,19
"115","Arauco",7.92521018095411e-07,19
"116","Arica",1.2906697888363e-05,19
"117","Aysén",2.26071903100401e-06,19
"118","Bío-Bío",3.42098868372176e-05,19
"119","Cachapoal",9.01536809054804e-05,19
"120","Capitán Prat",3.02412293657973e-05,19
"121","Cardenal Caro",2.21861734909605e-07,19
"122","Cauquenes",4.37100732142426e-07,19
"123","Cautín",7.35302763075651e-05,19
"124","Provincia de Chacabuco",0.000141322607911813,19
"125","Chañaral",2.98023222396656e-08,19
"126","Chiloe",0,19
"127","Choapa",6.53804514682326e-05,19
"128","Colchagua",3.43180848411911e-05,19
"129","Provincia de Concepción",7.94728620689966e-09,19
"130","Copiapó",1.65595486050989e-06,19
"131","Provincia de Cordillera",0.000197822851077945,19
"132","Coyhaique",4.29948167735006e-07,19
"133","Curicó",3.06873609423002e-05,19
"134","Diguillín",2.25206213144702e-05,19
"135","El Loa",1.01024820789112e-06,19
"136","Provincia de Elqui",4.9513884412715e-05,19
"137","General Carrera",7.93000921894344e-07,19
"138","Huasco",6.37311208319711e-07,19
"139","Iquique",2.10007023676203e-05,19
"140","Isla de Pascua",NA,19
